name	FE_cont	FE_cont	FE_cont	FE_cont	FE_test	FE_test	FE_test	FE_test	CW_cont	CW_cont	CW_cont	CW_cont	CW_test	CW_test	CW_test	CW_test	PK_cont	PK_cont	PK_cont	PK_cont	PK_test	PK_test	PK_test	PK_test	PK_test	PK_test	PK_test	PK_test	KC_before	KC_before	KC_before	KC_before	KC_After	KC_After	KC_After	KC_After
Butyrate	1.67	3.216	1.443	2.94	3.506	11.547	0.738	4.312	0	0	0	293.306	538.532	0	491.069	0	24094.279	23597.751	28847.725	24935.013	27538.641	35702.044	46483.743	29572.128	24112.361	24163.615	47457.563	26086.993	214.964	166.606	222.954	213.756	352.46	329.367	345.907	407.835
AIB	0	0.021227596	0	0	0.036272353	0	0.149658529	0.131970294	0.293178962	0.307415089	0.393378824	0.501683491	1.074088269	0.444291964	0.6444264	1.013601226	8.507432308	10.36636904	9.737486111	10.61265091	12.95484225	8.425676379	327.1615399	11.13756402	10.302204	10.33674964	7.138605469	12.60111147	0.1561431	0.1484679	0.139805278	0.125401442	0.161437778	0.170495481	0.202680283	0.189778475
3_Hydroxyglutaric_acid	0	0.014722212	0.001893824	0.0022953	0	0	0	0	1.471082547	1.197727232	1.301171765	1.355095755	1.279636731	1.226156518	1.3941864	1.201968113	0.941658923	1.161659423	1.101782222	0.918180909	1.00132825	1.008015	0.961373115	1.085021518	1.1802897	1.083916071	0.970490391	1.176334412	1.1920005	1.1866779	1.137406389	1.159173462	1.192153333	1.131698077	1.115594434	1.005994576
Lactobacillus	16.90042076	5.088717777	6.180641184	20.67851373	10.75544731	10.14627351	1.007194245	17.35307313	59.87290059	20.99232838	11.47436713	5.458124553	72.53482505	32.90764791	32.60521211	41.6387545	8.807761042	17.97857476	13.01474326	24.450881	52.41400121	48.52978778	20.40912297	54.27101968	31.42857143	70.9321437	65.36267319	61.52315999	0	0	0	0	0	0	0	0
3_Hydroxyisobutyric_acid	0.027327941	0	0	0.0519639	0.015634706	0.0135435	0.010846176	0.060013235	0.109793208	0.132466071	0.083537353	0.219397925	0.037519615	0.060471161	0.2230815	0.009384057	1.083557538	0.376817019	0.3662725	0.369580682	0.49866725	0.118423448	0.142832459	0.150731518	0.1011672	0.298135179	0.194029688	0.199949118	0.1100067	0.0963849	0.0224375	0.016772019	0.156000556	0.13215375	0.025792925	0.023837542
Proline	4934.68427	926.0687576	2995.742876	4551.06614	945.0386265	4550.144568	1906.422861	4315.424561	0.502066415	0.727298304	0.160959118	0.262163208	0.162288462	0.108579911	0.2251869	0.179804717	4.962137077	6.122257212	3.735411389	4.97803	4.04627825	5.876278966	2.249252705	3.331271786	1.4394243	3.33452625	12.8712982	3.126223235	20.7491991	7.6406016	14.35855889	2.259362885	6.008038889	13.20792981	2.704310377	3.492699407
Aspartic_acid	51.97390059	15.43800433	42.64850647	49.1111277	15.14546147	57.3465714	26.42534412	28.73880588	2.569566792	0.818923929	0.698980588	0.38143783	0.166619423	1.047649018	0.6127629	0.159953491	0.755654769	1.325818269	2.018935833	0.978367273	0.865992	1.6348125	1.307766639	0.905071339	0.8577306	1.163364375	3.041899688	0.854694706	0.8872008	0.7354464	0.452566389	0.156281827	0.316410833	0.319390096	0.034543585	0.05582822
Succinic_acid	0.718652059	0.415713462	0.740752941	1.147416	0.443034412	0.6438267	0.500921471	1.246684706	118.9804322	2.062679464	33.32400441	41.80802094	3.683175865	2.223726696	5.5178343	3.044466509	0	0	0	0	0	0	0	0	0	0	0	0	0.6812973	1.2429186	0.8497575	0.262887115	0.916329444	1.579359519	0.41145566	0.21818339
Tyramine	0.117651176	0.041063654	0.202613529	0.1281987	0.079523824	0.1965483	0.074535882	0.059892059	2.520549057	0.037345982	0.164015882	0.222085755	0.072585	0.087246429	0.0415662	0.005543491	0.598012846	0.222069808	0.239360556	0.910642045	0.16462375	0.073481121	0.067542295	0.119218393	0.0497352	0.227226429	0.043238438	0.120467059	0.2365464	0.1194735	0.035343889	0.043140577	0.041265278	0.134367981	0.033114906	0.196626864
Acetylglycine	0.093647353	0.084699808	0.159869706	0.2001129	0.076281471	0.13734	0.126604706	0.230020882	1.519327358	0.150143839	0.136084118	0.402677547	0.247795385	1.13961375	0.7603821	0.171241132	0.041495769	0	0	0	0.044155	0.033979138	0.025797541	0.024722946	0.0181248	0.032094911	0.043331484	0.024402059	0	0	0	0	0	0	0	0
Tryptophan	3.237219706	0.126801923	1.499877647	2.5734762	0.495315882	3.3982542	0.811846765	1.268959412	0.929201321	0.6561375	0.470057353	0.308635472	0.259434519	0.194082054	1.1086587	0.23781	0	0.0253275	0.029953056	0.025576364	0	0.049925948	0.024446803	0.021269464	0	0.021242411	0.059636953	0	0.1346682	0.104769	0.132383889	0.07133625	0.062812222	0.074843365	0.010140849	0.030355678
Galactose	0.059631765	0.004895769	0.042609412	0.2297886	0.014016176	0.0647661	0.02118	0.040284412	1.003357075	0.194930357	0.397320882	0.388633019	0.147432404	0.176821339	0.1342596	0.042922925	2.511130385	0.997412596	0.651921389	1.416196364	0.980653	2.077663707	0.30116041	1.897796518	0.533118	0.765906696	1.085173359	1.112233529	9.6410415	5.5197648	5.5070525	0.300319038	7.972788056	9.884479327	1.200623774	0.756082627
5_Aminovaleric_acid	1.273717059	1.078354327	1.488131765	1.3388088	0.906711176	0.5161266	0.194752353	0.217173529	11.67971462	0.041078036	5.430631765	3.424123585	1.137498462	1.65927	0.0396519	0.013967547	4.845362077	2.751086827	2.194621111	3.649766818	4.50031875	3.550085948	7.116761311	2.508644464	1.3960137	2.454251518	1.638549375	2.158923824	40.3415061	37.4951208	0.412148333	0.179018365	27.63263611	15.85641058	0.476595	0.380936441
5_Methoxytryptamine	0.108983235	0.051272308	0.113159706	0.2152356	0.099942353	0.1703331	0	0	0.021766415	0.036609375	0.039465588	0.031729528	0.030528173	0.007366875	0.0352341	0	0.462734538	0.515203846	0.057051111	0.143075909	0.06622275	0.035383707	0.04082459	0.121761964	0.0830241	0.087368036	1.597865859	0.140651471	0.1579107	0.1556739	0.049253056	0.081660288	0.265935833	0.379360096	0.075148868	0.058506864
