Test,Butyrate,AIB,3_Hydroxyglutaric_acid,Lactobacillus,3_Hydroxyisobutyric_acid,Proline,Aspartic_acid,Succinic_acid,Tyramine,Acetylglycine,Tryptophan,Galactose,5_Aminovaleric_acid,5_Methoxytryptamine,Nicotinic_acid,3_Aminopropanoic_acid,Cysteine,Glutamic_acid,5_Oxoproline,3_Hydroxybutyric_acid,3_Aminoglutaric_acid,Blautia,Homocysteine,Pyridoxal_phosphate,selectedAA
0,1.67,0,0,16.90042076,0.027327941,4934.68427,51.97390059,0.718652059,0.117651176,0.093647353,3.237219706,0.059631765,1.273717059,0.108983235,0.109007059,0.332265,0.817213824,41.73374382,14.60135647,0.016793824,52.84885676,0,1.944232353,0,5032.446348
0,3.216,0.021227596,0.014722212,5.088717777,0,926.0687576,15.43800433,0.415713462,0.041063654,0.084699808,0.126801923,0.004895769,1.078354327,0.051272308,0.122907692,0.300875192,0.265724423,9.792631154,10.41110365,0,15.53873423,0,0.780940385,0,951.6919194
0,1.443,0,0.001893824,6.180641184,0,2995.742876,42.64850647,0.740752941,0.202613529,0.159869706,1.499877647,0.042609412,1.488131765,0.113159706,0.071131176,0.281004706,0.916543824,25.23884588,22.54286176,0,43.29075588,0,1.536288529,0,3066.04665
0,2.94,0,0.0022953,20.67851373,0.0519639,4551.06614,49.1111277,1.147416,0.1281987,0.2001129,2.5734762,0.2297886,1.3388088,0.2152356,0.114309,0.301809,1.196136,42.2009334,24.0788079,0.0355227,49.8093237,0,1.6071654,0,4646.147813
1,3.506,0.036272353,0,10.75544731,0.015634706,945.0386265,15.14546147,0.443034412,0.079523824,0.076281471,0.495315882,0.014016176,0.906711176,0.099942353,0.041845,0.136929412,0.317345294,13.05834412,8.714334412,0.013900588,15.24097853,0,0.934362941,0,974.0550933
1,11.547,0,0,10.14627351,0.0135435,4550.144568,57.3465714,0.6438267,0.1965483,0.13734,3.3982542,0.0647661,0.5161266,0.1703331,0.0528462,0.4412277,1.248696,35.0270973,21.5480958,0,58.3804125,0,1.8191094,0,4647.165187
1,0.738,0.149658529,0,1.007194245,0.010846176,1906.422861,26.42534412,0.500921471,0.074535882,0.126604706,0.811846765,0.02118,0.194752353,0,0.071153824,0,0.188677941,0.759226471,25.21998971,0,26.78281088,0,0.563869706,0,1934.607956
1,4.312,0.131970294,0,17.35307313,0.060013235,4315.424561,28.73880588,1.246684706,0.059892059,0.230020882,1.268959412,0.040284412,0.217173529,0,0.178854412,0.007003529,0.076933824,0.921321176,42.43979353,0.027620294,29.04527794,0,0.472103824,0,4346.430581
0,0,0.293178962,1.471082547,59.87290059,0.109793208,0.502066415,2.569566792,118.9804322,2.520549057,1.519327358,0.929201321,1.003357075,11.67971462,0.021766415,1.15699783,0.58755566,0.214107453,9.20267066,6.016090189,0.490308113,2.498849151,0,0.039281038,0,13.41761264
0,0,0.307415089,1.197727232,20.99232838,0.132466071,0.727298304,0.818923929,2.062679464,0.037345982,0.150143839,0.6561375,0.194930357,0.041078036,0.036609375,1.653994286,0.307680268,0.021414911,3.553327232,2.685575893,0.481075982,0.830945625,0,0.018108482,0,5.777101876
0,0,0.393378824,1.301171765,11.47436713,0.083537353,0.160959118,0.698980588,33.32400441,0.164015882,0.136084118,0.470057353,0.397320882,5.430631765,0.039465588,2.874925882,0.75685,0.077014412,6.779743824,4.557225882,0.307609706,0.685068235,0,0.025623824,0,8.186755295
0,293.306,0.501683491,1.355095755,5.458124553,0.219397925,0.262163208,0.38143783,41.80802094,0.222085755,0.402677547,0.308635472,0.388633019,3.424123585,0.031729528,2.550387736,1.125545377,0.082368679,6.031639811,3.68331566,0.837574811,0.354184528,0,0.037972075,0.448895943,7.066245
1,538.532,1.074088269,1.279636731,72.53482505,0.037519615,0.162288462,0.166619423,3.683175865,0.072585,0.247795385,0.259434519,0.147432404,1.137498462,0.030528173,2.533131058,0.400347115,0.025874423,0.454937885,1.172545096,0.141266538,0.171274615,0,0,0,1.069154712
1,0,0.444291964,1.226156518,32.90764791,0.060471161,0.108579911,1.047649018,2.223726696,0.087246429,1.13961375,0.194082054,0.176821339,1.65927,0.007366875,1.678292411,0.465022768,0.094456339,1.261384286,2.387512232,0.177985446,1.029017411,0,0.029119018,0,2.706151608
