Species,Amino_acid_Glutamic_acid,Amino_acid_Tryptophan,Amino_acid_Aspartic_acid,Amino_acid_Proline,Amino_acid_Histidine,Amino_acid_Cysteine,carbohydrate_Galactose,Other_acid_5_Aminovaleric_acid,Other_acid_2_Aminoisobutyric_acid,Other_acid_5_Oxoproline,Other_acid_Nicotinic_acid,Other_acid_3_Aminopropanoic_acid,Other_acid_3_Aminoglutaric_acid,Other_acid_Acetylglycine,Other_acid_3_Hydroxyisobutyric_acid,Other_acid_3_Hydroxybutyric_acid,Other_acid_Succinic_acid,Other_acid_3_Hydroxyglutaric_acid,Other_Inosine,Other_Tyramine,Other_5_Methoxytryptamine,SCFAs_Butyrate,genus_Lactobacillus
FE_control,41.73374382,3.237219706,51.97390059,4934.68427,5.355485294,0.817213824,0.059631765,1.273717059,0,14.60135647,0.109007059,0.332265,52.84885676,0.093647353,0.027327941,0.016793824,0.718652059,0,1.880069706,0.117651176,0.108983235,1.67,5.974001596
FE_control,9.792631154,0.126801923,15.43800433,926.0687576,0,0.265724423,0.004895769,1.078354327,0.021227596,10.41110365,0.122907692,0.300875192,15.53873423,0.084699808,0,0,0.415713462,0.014722212,0.726656538,0.041063654,0.051272308,3.216,16.90042076
FE_control,25.23884588,1.499877647,42.64850647,2995.742876,5.55879,0.916543824,0.042609412,1.488131765,0,22.54286176,0.071131176,0.281004706,43.29075588,0.159869706,0,0,0.740752941,0.001893824,2.504605588,0.202613529,0.113159706,1.443,5.088717777
FE_control,42.2009334,2.5734762,49.1111277,4551.06614,4.391793,1.196136,0.2297886,1.3388088,0,24.0788079,0.114309,0.301809,49.8093237,0.2001129,0.0519639,0.0355227,1.147416,0.0022953,3.5006436,0.1281987,0.2152356,2.94,6.180641184
FE_Test,13.05834412,0.495315882,15.14546147,945.0386265,0.167269706,0.317345294,0.014016176,0.906711176,0.036272353,8.714334412,0.041845,0.136929412,15.24097853,0.076281471,0.015634706,0.013900588,0.443034412,0,0.829797647,0.079523824,0.099942353,3.506,0.19990005
FE_Test,35.0270973,3.3982542,57.3465714,4550.144568,16.7490642,1.248696,0.0647661,0.5161266,0,21.5480958,0.0528462,0.4412277,58.3804125,0.13734,0.0135435,0,0.6438267,0,3.4243107,0.1965483,0.1703331,11.547,10.75544731
FE_Test,0.759226471,0.811846765,26.42534412,1906.422861,2.451980882,0.188677941,0.02118,0.194752353,0.149658529,25.21998971,0.071153824,0,26.78281088,0.126604706,0.010846176,0,0.500921471,0,1.813829706,0.074535882,0,0.738,10.14627351
FE_Test,0.921321176,1.268959412,28.73880588,4315.424561,0.565444706,0.076933824,0.040284412,0.217173529,0.131970294,42.43979353,0.178854412,0.007003529,29.04527794,0.230020882,0.060013235,0.027620294,1.246684706,0,2.942517941,0.059892059,0,4.312,1.007194245
CW12_control,9.20267066,0.929201321,2.569566792,0.502066415,1.584890094,0.214107453,1.003357075,11.67971462,0.293178962,6.016090189,1.15699783,0.58755566,2.498849151,1.519327358,0.109793208,0.490308113,118.9804322,1.471082547,0.117479434,2.520549057,0.021766415,0,59.87290059
CW12_control,3.553327232,0.6561375,0.818923929,0.727298304,0.422345357,0.021414911,0.194930357,0.041078036,0.307415089,2.685575893,1.653994286,0.307680268,0.830945625,0.150143839,0.132466071,0.481075982,2.062679464,1.197727232,0.165927321,0.037345982,0.036609375,0,20.99232838
CW12_control,6.779743824,0.470057353,0.698980588,0.160959118,0,0.077014412,0.397320882,5.430631765,0.393378824,4.557225882,2.874925882,0.75685,0.685068235,0.136084118,0.083537353,0.307609706,33.32400441,1.301171765,0.036149118,0.164015882,0.039465588,0,11.47436713
CW12_control,6.031639811,0.308635472,0.38143783,0.262163208,0.116947925,0.082368679,0.388633019,3.424123585,0.501683491,3.68331566,2.550387736,1.125545377,0.354184528,0.402677547,0.219397925,0.837574811,41.80802094,1.355095755,0.184231981,0.222085755,0.031729528,293.306,5.458124553
CW12_Test,0.454937885,0.259434519,0.166619423,0.162288462,0,0.025874423,0.147432404,1.137498462,1.074088269,1.172545096,2.533131058,0.400347115,0.171274615,0.247795385,0.037519615,0.141266538,3.683175865,1.279636731,0.031378558,0.072585,0.030528173,538.532,72.53482505
CW12_Test,1.261384286,0.194082054,1.047649018,0.108579911,0.153567321,0.094456339,0.176821339,1.65927,0.444291964,2.387512232,1.678292411,0.465022768,1.029017411,1.13961375,0.060471161,0.177985446,2.223726696,1.226156518,0,0.087246429,0.007366875,0,32.90764791
CW12_Test,1.6681131,1.1086587,0.6127629,0.2251869,0.2167053,0.0649659,0.1342596,0.0396519,0.6444264,2.9152428,1.4047107,0.1808595,0.6231591,0.7603821,0.2230815,0.6463992,5.5178343,1.3941864,0.1683132,0.0415662,0.0352341,491.069,32.60521211
CW12_Test,0.106483019,0.23781,0.159953491,0.179804717,0.046144811,0.017434528,0.042922925,0.013967547,1.013601226,2.844386321,2.375441038,0.033395094,0.169759528,0.171241132,0.009384057,0.01299283,3.044466509,1.201968113,0.086663208,0.005543491,0,0,41.6387545
PK_control,2.635119692,0,0.755654769,4.962137077,0,0.498733154,2.511130385,4.845362077,8.507432308,0.284391,0.392796692,1.314070846,0.754107231,0.041495769,1.083557538,6.038363308,0,0.941658923,0,0.598012846,0.462734538,24094.279,8.807761042
PK_control,3.138327981,0.0253275,1.325818269,6.122257212,0,0.382744327,0.997412596,2.751086827,10.36636904,0.304555673,0.215232404,0.872027596,1.33539375,0,0.376817019,1.957088654,0,1.161659423,0,0.222069808,0.515203846,23597.751,17.97857476
PK_control,5.177660278,0.029953056,2.018935833,3.735411389,0,0.269993333,0.651921389,2.194621111,9.737486111,0.341721389,0.180900556,0.695756667,2.067254444,0,0.3662725,2.034001667,0,1.101782222,0,0.239360556,0.057051111,28847.725,13.01474326
PK_control,3.075700227,0.025576364,0.978367273,4.97803,0,0.1906975,1.416196364,3.649766818,10.61265091,0.265597273,0.430001591,2.941697727,1.001551591,0,0.369580682,2.0114925,0,0.918180909,0,0.910642045,0.143075909,24935.013,24.450881
PK_Test,3.0020785,0,0.865992,4.04627825,0,0.2176745,0.980653,4.50031875,12.95484225,0.23991325,0.2488195,1.35388175,0.8794575,0.044155,0.49866725,2.548419,0,1.00132825,0,0.16462375,0.06622275,27538.641,52.41400121
PK_Test,6.403278879,0.049925948,1.6348125,5.876278966,0,0.274924397,2.077663707,3.550085948,8.425676379,0.455779138,0.078823966,0.878160259,1.639032931,0.033979138,0.118423448,0.603320172,0,1.008015,0,0.073481121,0.035383707,35702.044,48.52978778
